rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,velocity,layout,dim,data_offset,data
1582835790653416075,,18,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790663667045,,19,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790673861634,,20,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790684037636,,21,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790694195443,,22,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790704268769,,23,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790714348125,,24,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790724433557,,25,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790734743541,,26,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790744919648,,27,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790755143099,,28,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790765407861,,29,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790775475788,,30,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790785716693,,31,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790795712922,,32,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790806103875,,33,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790816444805,,34,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790826583476,,35,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790836345218,,36,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790846523048,,37,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790856665276,,38,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790866936280,,39,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790877073187,,40,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790887273233,,41,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790897617512,,42,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790907732071,,43,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790918022070,,44,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790928341495,,45,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790938329056,,46,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790948526740,,47,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790958653274,,48,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790969053526,,49,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790979078193,,50,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790989042051,,51,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835790999050693,,52,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791009533764,,53,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791019490241,,54,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791029604184,,55,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791039860158,,56,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791050046815,,57,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791060406752,,58,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791070454863,,59,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791080939701,,60,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791090727277,,61,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582835791100779716,,62,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
