rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,velocity,layout,dim,data_offset,data
1581465372096909244,,1,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372106964423,,2,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372117064950,,3,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372127235472,,4,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372137406292,,5,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372147475627,,6,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372157564111,,7,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372167696096,,8,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372177777620,,9,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372188012889,,10,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372198238637,,11,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372208251048,,12,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372218543667,,13,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372228527608,,14,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372238654044,,15,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372248895308,,16,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372258883493,,17,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372268966039,,18,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372279049395,,19,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372289153722,,20,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372299228379,,21,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372309347246,,22,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372319543175,,23,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372329612501,,24,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372339818912,,25,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372349855851,,26,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372359952255,,27,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372370129759,,28,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372380183827,,29,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372390403443,,30,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372400559213,,31,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372410510610,,32,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372420776817,,33,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372430761440,,34,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372440932729,,35,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372450966617,,36,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372461081096,,37,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372471300148,,38,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372481348716,,39,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1581465372491651096,,40,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
