rosbagTimestamp,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um
13.7619242668,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.7688541412,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.7752184868,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.7817280293,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.7887735367,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.7950210571,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.8012497425,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.8061878681,"""mode_r""","""Hard Puff""",0.12602675196,"""Zero Band""",True,False
13.8160493374,"""mode_r""","""Hard Puff""",0.0113198822752,"""Hard Puff""",False,True
13.8220479488,"""mode_r""","""Hard Puff""",0.0113198822752,"""Hard Puff""",False,True
13.8283016682,"""mode_r""","""Hard Puff""",0.0113198822752,"""Hard Puff""",False,True
13.8330335617,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.8373420238,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.8422348499,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.847751379,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.8530614376,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.858317852,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.8632974625,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
13.8683390617,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
14.0290291309,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
14.0341339111,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
14.0392708778,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
14.0454819202,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
14.0509569645,"""move_p""","""Soft Puff""",0.153176509288,"""Zero Band""",True,False
