rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,num_switches
10.2095746994,,1,,1583088850,502573966,"""user""",0,2
18.456982851,,2,,1583088858,750010013,"""user""",1,3
24.878960371,,3,,1583088865,171967983,"""user""",0,4
33.4603765011,,4,,1583088873,753396987,"""user""",2,5
38.2294301987,,5,,1583088878,522201061,"""user""",1,6
49.0953702927,,6,,1583088889,387965917,"""service""",2,7
50.5277693272,,7,,1583088890,820769071,"""user""",0,8
57.1568732262,,8,,1583088897,449806928,"""user""",1,9
63.9406080246,,9,,1583088904,233629941,"""user""",0,10
72.764749527,,10,,1583088913,57787895,"""user""",2,11
76.3392410278,,11,,1583088916,632270097,"""user""",1,12
85.1581499577,,12,,1583088925,451179981,"""service""",2,13
85.7122716904,,13,,1583088926,5194902,"""user""",0,14
91.1086149216,,14,,1583088931,401633977,"""user""",1,15
94.8230779171,,15,,1583088935,115843057,"""user""",0,16
99.9913227558,,16,,1583088940,284231901,"""user""",2,17
102.885191917,,17,,1583088943,178221940,"""user""",1,18
111.455157518,,18,,1583088951,748100042,"""service""",2,19
112.022654295,,19,,1583088952,315687894,"""user""",1,20
116.337197542,,20,,1583088956,630209922,"""user""",0,21
122.002570629,,21,,1583088962,295600891,"""user""",1,22
125.919145107,,22,,1583088966,212061882,"""user""",2,23
128.930916548,,23,,1583088969,223946094,"""user""",0,24
139.396276951,,24,,1583088979,689133882,"""service""",0,25
139.94819665,,25,,1583088980,241209030,"""user""",1,26
144.496022463,,26,,1583088984,788921117,"""user""",2,27
147.415649652,,27,,1583088987,708684921,"""user""",0,28
152.410290718,,28,,1583088992,703093051,"""user""",1,29
156.090204477,,29,,1583088996,383234024,"""user""",0,30
166.8524189,,30,,1583089007,145322084,"""service""",1,31
167.54134202,,31,,1583089007,834362983,"""user""",0,32
173.430235386,,32,,1583089013,723263025,"""user""",1,33
177.419706583,,33,,1583089017,712532043,"""user""",0,34
183.042793274,,34,,1583089023,335808992,"""user""",2,35
186.322944164,,35,,1583089026,615943908,"""user""",1,36
