rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
10.2370347977,,1,,1583010898,273664951,'',"""4"""
12.0386116505,,2,,1583010900,75241088,'',"""4"""
13.3557255268,,3,,1583010901,392415046,'',"""3"""
14.7909252644,,4,,1583010902,827600002,'',"""3"""
16.3086967468,,5,,1583010904,345412015,'',"""1"""
17.6603047848,,6,,1583010905,696949005,'',"""1"""
19.093527317,,7,,1583010907,130178928,'',"""3"""
20.8452305794,,8,,1583010908,881820917,'',"""2"""
22.4126987457,,9,,1583010910,449237108,'',"""4"""
24.7543549538,,10,,1583010912,790929079,'',"""1"""
26.1828532219,,11,,1583010914,219476938,'',"""2"""
30.0362951756,,12,,1583010918,72935104,'',"""2"""
43.9624843597,,13,,1583010931,999109983,'',"""4"""
46.7152602673,,14,,1583010934,751884937,'',"""4"""
48.3494772911,,15,,1583010936,386034965,'',"""3"""
51.1015033722,,16,,1583010939,138166904,'',"""2"""
53.0531437397,,17,,1583010941,89781999,'',"""1"""
55.0544497967,,18,,1583010943,91037034,'',"""1"""
57.0681159496,,19,,1583010945,104710102,'',"""4"""
58.323574543,,20,,1583010946,360167026,'',"""3"""
61.9771535397,,21,,1583010950,13753890,'',"""3"""
64.4454636574,,22,,1583010952,481997013,'',"""1"""
66.2473790646,,23,,1583010954,284002065,'',"""2"""
69.3827989101,,24,,1583010957,419512033,'',"""2"""
82.1249687672,,25,,1583010970,161528110,'',"""4"""
84.2936706543,,26,,1583010972,330327033,'',"""1"""
86.1783807278,,27,,1583010974,215006113,'',"""3"""
87.7630960941,,28,,1583010975,799649000,'',"""1"""
89.7807331085,,29,,1583010977,817389011,'',"""3"""
91.7667827606,,30,,1583010979,803445100,'',"""2"""
93.5003683567,,31,,1583010981,537081003,'',"""4"""
96.3033459187,,32,,1583010984,339942932,'',"""2"""
98.8717544079,,33,,1583010986,908376932,'',"""4"""
101.406886101,,34,,1583010989,443517923,'',"""1"""
103.491992712,,35,,1583010991,528618097,'',"""2"""
105.360191107,,36,,1583010993,396781921,'',"""3"""
116.75164485,,37,,1583011004,788249969,'',"""2"""
118.720737457,,38,,1583011006,757401943,'',"""1"""
120.422209501,,39,,1583011008,458859920,'',"""1"""
123.074180126,,40,,1583011011,110637903,'',"""2"""
126.225861073,,41,,1583011014,262480974,'',"""3"""
128.476942301,,42,,1583011016,513592004,'',"""4"""
130.546020985,,43,,1583011018,582674026,'',"""4"""
133.21510601,,44,,1583011021,251744985,'',"""2"""
134.965311766,,45,,1583011023,1967906,'',"""3"""
137.517360687,,46,,1583011025,553997993,'',"""1"""
139.301719189,,47,,1583011027,338350057,'',"""4"""
143.839205503,,48,,1583011031,875828981,'',"""3"""
153.362726688,,49,,1583011041,399382114,'',"""4"""
155.648358822,,50,,1583011043,685033082,'',"""3"""
158.917538881,,51,,1583011046,954118967,'',"""2"""
160.719528675,,52,,1583011048,756130933,'',"""1"""
164.004624844,,53,,1583011052,41254997,'',"""2"""
167.090795994,,54,,1583011055,127377033,'',"""2"""
169.09161973,,55,,1583011057,128258943,'',"""4"""
171.894514799,,56,,1583011059,931127071,'',"""3"""
173.895601273,,57,,1583011061,932190895,'',"""4"""
175.496792793,,58,,1583011063,533402919,'',"""3"""
178.499267578,,59,,1583011066,535994052,'',"""1"""
180.10013628,,60,,1583011068,136751890,'',"""1"""
194.978729486,,61,,1583011083,15376091,'',"""2"""
196.479951143,,62,,1583011084,516643047,'',"""3"""
197.880513668,,63,,1583011085,917159080,'',"""4"""
200.782801151,,64,,1583011088,819418907,'',"""1"""
202.967741251,,65,,1583011091,4359960,'',"""2"""
206.404548168,,66,,1583011094,441212892,'',"""2"""
208.305696011,,67,,1583011096,342319011,'',"""1"""
214.61032033,,68,,1583011102,646822929,'',"""3"""
217.145929098,,69,,1583011105,182594060,'',"""4"""
219.146696329,,70,,1583011107,183353900,'',"""4"""
221.042465687,,71,,1583011109,79150915,'',"""3"""
222.499909401,,72,,1583011110,536539077,'',"""1"""
