rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,num_switches
0.0536894798279,,1,,1583007441,972755908,"""service""",0,1
11.1816368103,,2,,1583007453,100711107,"""user""",1,2
16.5085914135,,3,,1583007458,427450895,"""user""",2,3
24.0519258976,,4,,1583007465,970694065,"""user""",0,4
30.7949459553,,5,,1583007472,713939905,"""user""",1,5
35.2395455837,,6,,1583007477,158598899,"""user""",0,6
45.7786524296,,7,,1583007487,697525978,"""service""",2,7
47.8350734711,,8,,1583007489,754064083,"""user""",1,8
53.3483362198,,9,,1583007495,267421960,"""user""",0,9
59.1917715073,,10,,1583007501,110661029,"""user""",1,10
64.0307176113,,11,,1583007505,949779987,"""user""",2,11
67.2861707211,,12,,1583007509,205230951,"""user""",0,12
78.4150006771,,13,,1583007520,333920955,"""service""",2,13
80.5859229565,,14,,1583007522,505017995,"""user""",0,14
94.3371169567,,15,,1583007536,256105899,"""user""",1,15
99.8764507771,,16,,1583007541,795542001,"""user""",0,16
109.521558285,,17,,1583007551,440639019,"""user""",2,17
117.797338009,,18,,1583007559,716432094,"""user""",1,18
132.89378047,,19,,1583007574,812841892,"""service""",1,19
134.658940315,,20,,1583007576,577975034,"""user""",0,20
145.850795746,,21,,1583007587,769776105,"""user""",1,21
150.077553034,,22,,1583007591,996551990,"""user""",0,22
156.030270815,,23,,1583007597,949357986,"""user""",2,23
159.203975439,,24,,1583007601,122845888,"""user""",1,24
168.098448515,,25,,1583007610,17504930,"""service""",2,25
170.087439299,,26,,1583007612,6359100,"""user""",1,26
175.412932158,,27,,1583007617,332009077,"""user""",0,27
181.975827456,,28,,1583007623,894841909,"""user""",1,28
186.963900805,,29,,1583007628,882962942,"""user""",2,29
190.482023478,,30,,1583007632,401122093,"""user""",0,30
202.021148443,,31,,1583007643,940026044,"""service""",2,31
203.663366795,,32,,1583007645,582452058,"""user""",0,32
211.403042555,,33,,1583007653,321820020,"""user""",1,33
216.105538607,,34,,1583007658,24627923,"""user""",0,34
224.426392794,,35,,1583007666,345485925,"""user""",2,35
228.488474369,,36,,1583007670,407507896,"""user""",1,36
