rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,velocity,layout,dim,data_offset,data
1582825989906900426,,1,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989917061448,,2,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989927278173,,3,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989937396446,,4,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989947687784,,5,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989957656094,,6,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989967701495,,7,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989977836415,,8,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989988005381,,9,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825989998081517,,10,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990008181554,,11,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990018292692,,12,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990028342961,,13,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990038516312,,14,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990048666745,,15,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990058812446,,16,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990069153185,,17,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990079373117,,18,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990089365733,,19,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990099831846,,20,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990109902034,,21,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990120271353,,22,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990130414531,,23,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990140599583,,24,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990150356335,,25,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990160763031,,26,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990170941467,,27,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990180935354,,28,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990191074254,,29,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990201669833,,30,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582825990212013765,,31,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
