rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,velocity,layout,dim,data_offset,data
1582762460672294266,,17,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460682446746,,18,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460692667900,,19,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460702777473,,20,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460712896920,,21,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460722959056,,22,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460733131100,,23,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460743267031,,24,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460753374672,,25,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460763420303,,26,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460773680155,,27,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460783715646,,28,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460793998573,,29,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460804027038,,30,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460814241456,,31,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460824284412,,32,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460834366790,,33,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460844738567,,34,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460854691279,,35,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460864726609,,36,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460874805073,,37,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460884924766,,38,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460895087280,,39,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460905252892,,40,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460915335254,,41,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460925432998,,42,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460935597469,,43,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460945697361,,44,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460955873069,,45,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460965915100,,46,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460976012228,,47,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460986108959,,48,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762460996284087,,49,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461006437365,,50,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461016672106,,51,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461027128905,,52,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461036856960,,53,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461046978167,,54,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461057123384,,55,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461067293448,,56,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461077345089,,57,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461087415394,,58,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461097531745,,59,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461107624158,,60,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461117728063,,61,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461127857213,,62,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461137927724,,63,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461148230317,,64,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461158239935,,65,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582762461168523725,,66,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
