time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328830709485388,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830709492291,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830719572377,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830719787521,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830728581672,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830729640712,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830739255415,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830739789370,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830749800300,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830749808842,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830758725559,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830760012557,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830769269940,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830770058615,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830778594211,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830780209979,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830789376472,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830790302010,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830798481517,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830800510424,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830809438059,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830810530591,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830819786402,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830820728734,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830829307082,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830830826818,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830839320530,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830840978130,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830849232359,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830850984183,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830858596012,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830861243529,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
