time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330694437219850,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694441893566,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694447200759,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694451983056,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694457921605,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694462108984,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694472665481,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694473669421,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694483213535,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694493237318,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694503362960,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694503521172,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694513278379,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694515279410,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694523425039,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694524012908,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694531354510,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694533483906,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694538871498,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694543570880,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694549372142,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694553665391,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694558905635,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694563837877,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694569299859,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694573898604,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694579633972,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694583996822,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694589521391,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694594385315,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694599006476,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694604225963,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694609330156,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694614507853,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694619582153,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694624626842,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694629781050,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694634689775,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694638992300,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694644781921,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694649658864,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694654820035,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694658759282,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694664971952,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694670650174,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694675217491,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694679983087,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694685282846,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694689748537,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694695681251,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694699951385,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694705508118,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694709771347,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694715757203,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694718972945,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694725910771,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694729717726,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694736067755,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694739707787,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694746247241,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694749002257,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694756384306,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694758878654,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694766566126,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694768981896,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694776787389,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694780000983,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694786905249,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694788912144,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694796999441,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694798877088,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694807134234,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694809809762,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694817286629,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694818851503,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694827366564,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694829815340,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694837492810,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694838917901,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694847650011,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694849250604,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694857749821,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694859105847,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694867841288,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694869739610,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694877888632,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694879565599,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694888133844,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694889779576,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694898272515,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694898954417,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694908335109,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694908966550,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694919172365,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694927209741,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694929566091,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694939380956,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694944189168,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694949393649,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694955393870,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694959412926,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694963463882,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694969494100,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694969502473,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694976410067,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694979713140,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694983706576,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694989811908,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694990008299,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694999533055,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694999877068,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695008811528,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
