rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,velocity,layout,dim,data_offset,data
1582328644879544160,,92,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644889603925,,93,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644899764484,,94,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644909836049,,95,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644919925381,,96,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644930045825,,97,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644940131073,,98,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644950167550,,99,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644960427990,,100,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644970539765,,101,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644980546970,,102,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328644990684873,,103,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645000760609,,104,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645010975970,,105,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645021066191,,106,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645031287186,,107,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645041394985,,108,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645051517384,,109,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645061622227,,110,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645071706417,,111,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645081820534,,112,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645091906465,,113,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645102002663,,114,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645112289949,,115,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645122355534,,116,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645132430512,,117,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645142563256,,118,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645152630068,,119,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645162793272,,120,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645172875365,,121,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645182991285,,122,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645193091495,,123,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645203221278,,124,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645213407341,,125,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645223447723,,126,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645233530757,,127,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645243643906,,128,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645253785394,,129,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645263920418,,130,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645273985099,,131,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645284113669,,132,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645294246454,,133,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645304430574,,134,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645314574792,,135,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645324692952,,136,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645334768814,,137,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645344888034,,138,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645355112074,,139,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645365234367,,140,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645375314254,,141,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645385424806,,142,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645395552174,,143,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645405650468,,144,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645415685737,,145,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645425851271,,146,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645435941118,,147,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645446070534,,148,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645456197813,,149,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645466257544,,150,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645476365196,,151,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645486484616,,152,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645496634674,,153,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645506752127,,154,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645516869578,,155,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645526966398,,156,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645536991734,,157,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645547152973,,158,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645557286515,,159,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645567455009,,160,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645577546924,,161,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645587662303,,162,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645597765891,,163,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645607930806,,164,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582328645618170326,,165,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
