rosbagTimestamp,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um
1582330338164449713,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338179107088,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338189603341,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338195180549,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338201689717,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338205920442,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338211455250,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338216209049,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338222658496,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338227146859,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338232563206,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338237395783,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338243103801,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338250754095,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338255226411,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338260538014,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338265126873,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338270796222,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338277138266,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338281737671,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338286570093,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338291125777,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338296203632,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338300888148,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338306729311,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338311185176,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338316287529,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338321091196,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338327270570,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338331615780,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338337667296,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338342007483,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338346672343,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338351436627,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338356088560,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
1582330338360205317,"""mode_r""","""Hard Puff""",3.41103822509e-305,"""Hard Puff""",False,True
