time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
0.0,,,,,,,,,,,,,,start,,
0.002038717000004908,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.008071184000016274,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.018304587000017136,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.02716612800003304,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.028300047000016093,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.03844284999999559,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.04853177100002881,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.0521445280000421,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.05862164500001654,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.06908011499999134,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.07737755800002333,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.07896614100002353,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.08913445499999284,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.09922647499999471,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.10151147900000979,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.10930943500000012,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.11953139300004523,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.12682890900001098,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.12970209100001284,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.13982915900001558,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.14991617200001883,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.15127468100001806,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.1600344180000377,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.170182705000002,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.17667102800004386,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.1802613740000254,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.1903750900000034,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.20064187100001618,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.20234894800003644,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.21062278800002332,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.22085642800004734,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.2270634180000286,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.23090290999999752,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.24108862900001782,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.2511312960000396,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.2511396410000373,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.2611491680000313,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.2713577750000127,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.2752656940000122,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.28148627300004136,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.2915894990000254,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.29911208200002193,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.3017420770000001,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.3117842680000251,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.32195830400002023,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.3235290050000117,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.3320522310000342,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.3421638010000265,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.3489191530000255,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.35252547300004267,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.36251044300004764,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.3725473880000436,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.37331342699999936,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.3826615810000362,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.39282607999999186,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.3983705050000026,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.4031341080000459,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.4129846099999952,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.4231145380000214,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.4231154920000222,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.4332616330000292,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.44342660900002784,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.44722580900003095,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.4535782340000196,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.46371030800003155,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.4712994100000003,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.47379851400000916,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.48390030900000625,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.49407005300002993,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.4948132040000246,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.5041639810000333,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5142080790000136,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5189197060000197,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.52442145400002,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5346202850000168,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5431110860000388,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.5446760660000223,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5548782350000181,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5648717880000333,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5675060750000114,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.575145722000002,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5851879120000092,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.5911800860000369,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.595368862000015,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.605484486000023,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6155855660000213,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6155948640000304,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.6257798670000057,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6358432770000206,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6399157049999928,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.6460990910000248,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6562280660000397,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6641125680000357,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.6663761140000304,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6765813830000411,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.6866447930000277,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.689131021999998,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.6966707710000151,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.7068157200000087,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.7131662370000242,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,
0.716984511000021,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
