rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,velocity,layout,dim,data_offset,data
1582324635843442086,,93,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635853531581,,94,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635863680601,,95,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635874248057,,96,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635884650570,,97,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635894753304,,98,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635904736837,,99,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635914754639,,100,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635924781110,,101,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635934829233,,102,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635945020365,,103,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635955051480,,104,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635965176771,,105,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635975863114,,106,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635985780866,,107,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324635995906900,,108,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636006014303,,109,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636016084262,,110,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636026234939,,111,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636036289878,,112,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636046943690,,113,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636056729459,,114,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636066699791,,115,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636076883260,,116,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636087330853,,117,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636097381366,,118,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636107503796,,119,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636118231806,,120,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636128314800,,121,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636138518747,,122,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636148590580,,123,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636159424611,,124,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636169338815,,125,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636179353424,,126,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636189601230,,127,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636199451806,,128,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636209542347,,129,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636219668084,,130,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636229766500,,131,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636239822531,,132,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636249857459,,133,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636260366001,,134,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636270446367,,135,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636280550933,,136,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636290537750,,137,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636300587099,,138,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636310989883,,139,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636320760444,,140,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636331273175,,141,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636341147311,,142,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636351169745,,143,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636361217399,,144,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636371383820,,145,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636381516190,,146,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636391834398,,147,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636401841969,,148,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636411960047,,149,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636421960211,,150,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636432067922,,151,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636442558574,,152,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636452449821,,153,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636462468189,,154,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636472593052,,155,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636482632572,,156,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636492717318,,157,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636502805417,,158,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636512869120,,159,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636522950563,,160,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636533034911,,161,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636543125693,,162,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636553211807,,163,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636563778838,,164,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636574006118,,165,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636583861953,,166,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636594034649,,167,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636604094333,,168,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636614151115,,169,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
1582324636624668604,,170,,0,0,'',,,[],0,"[0.0, 0.0, 0.0]"
