rosbagTimestamp,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um
10.2946615219,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
10.2998754978,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
10.3052821159,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
10.310256958,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
10.317180872,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
10.3224637508,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
10.329862833,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.3362660408,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.3433303833,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.3482861519,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.3531415462,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.3601047993,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.365118742,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
10.3696732521,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1171796322,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1228141785,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1282627583,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1345105171,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1399433613,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1457085609,"""mode_r""","""Hard Puff""",0.755483983508,"""Hard Puff""",True,False
11.1531693935,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
11.1585350037,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
11.1638770103,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
11.1686816216,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
11.1744184494,"""mode_r""","""Hard Puff""",0.752139254079,"""Hard Puff""",True,False
11.184668541,"""mode_r""","""Hard Puff""",0.1238245625,"""Hard Puff""",True,False
11.1919641495,"""mode_r""","""Hard Puff""",0.1238245625,"""Hard Puff""",True,False
